รหัสเดิม,รหัส Active/main ที่แสดงในแอป,ชื่อวัสดุ,รหัสกลุ่มสต๊อก,รายการนำเข้าเดิม,รายการนำออกเดิม,ยอดสุทธิตามรหัสเดิม,จำนวน Lot ที่พบใน Inventory By Lot,แนวทาง v1.3.0
BB183,BB304,สติ๊กเกอร์สำหรับใบคล้องเลือด,BB183,2,4,2.0,2,สแกนสติ๊กเกอร์เดิมได้ ไม่ต้องเปลี่ยน; พิมพ์ใหม่ใช้รหัส Active/main
BB201,BB032,Anti-A (TRC),BB032,0,0,0,0,สแกนสติ๊กเกอร์เดิมได้ ไม่ต้องเปลี่ยน; พิมพ์ใหม่ใช้รหัส Active/main
BB202,BB035,Anti-B (TRC),BB035,0,0,0,0,สแกนสติ๊กเกอร์เดิมได้ ไม่ต้องเปลี่ยน; พิมพ์ใหม่ใช้รหัส Active/main
BB219,BB119,Parafilm,BB119,0,0,0,0,สแกนสติ๊กเกอร์เดิมได้ ไม่ต้องเปลี่ยน; พิมพ์ใหม่ใช้รหัส Active/main
BB220,BB120,Pasteur Pipette,BB120,1,13,195.0,1,สแกนสติ๊กเกอร์เดิมได้ ไม่ต้องเปลี่ยน; พิมพ์ใหม่ใช้รหัส Active/main
BB222,BB122,POST-IT 3x3 นิ้ว (100 แผ่น),BB122,0,0,0,0,สแกนสติ๊กเกอร์เดิมได้ ไม่ต้องเปลี่ยน; พิมพ์ใหม่ใช้รหัส Active/main
BB223,BB127,Ribbon สติ๊กเกอร์สำหรับถุงเลือด (กันน้ำ),BB127,0,0,0,0,สแกนสติ๊กเกอร์เดิมได้ ไม่ต้องเปลี่ยน; พิมพ์ใหม่ใช้รหัส Active/main
BB224,BB131,"Tip ขนาด 1,000 mL",BB131,1,0,9.0,1,สแกนสติ๊กเกอร์เดิมได้ ไม่ต้องเปลี่ยน; พิมพ์ใหม่ใช้รหัส Active/main
BB225,BB132,Tip ขนาด 200 mL,BB132,1,0,10.0,1,สแกนสติ๊กเกอร์เดิมได้ ไม่ต้องเปลี่ยน; พิมพ์ใหม่ใช้รหัส Active/main
BB229,BB135,กระดาษ A5,BB135,0,0,0,0,สแกนสติ๊กเกอร์เดิมได้ ไม่ต้องเปลี่ยน; พิมพ์ใหม่ใช้รหัส Active/main
BB234,BB136,ขวดแก้วสำหรับเตรียมเซลล์,BB136,0,0,0,0,สแกนสติ๊กเกอร์เดิมได้ ไม่ต้องเปลี่ยน; พิมพ์ใหม่ใช้รหัส Active/main
BB236,BB137,ซองพลาสติกใสใส่เอกสาร(20 ซอง/ห่อ),BB137,0,0,0,0,สแกนสติ๊กเกอร์เดิมได้ ไม่ต้องเปลี่ยน; พิมพ์ใหม่ใช้รหัส Active/main
BB242,BB138,ถังทิ้งของมีคมขนาด 10 mL,BB138,1,2,3.0,1,สแกนสติ๊กเกอร์เดิมได้ ไม่ต้องเปลี่ยน; พิมพ์ใหม่ใช้รหัส Active/main
BB243,BB139,ถังทิ้งของมีคมขนาด 5 mL,BB139,1,9,1.0,1,สแกนสติ๊กเกอร์เดิมได้ ไม่ต้องเปลี่ยน; พิมพ์ใหม่ใช้รหัส Active/main
BB244,BB140,ถ่าน Alkaline 1.5V (2A),BB140,0,0,0,0,สแกนสติ๊กเกอร์เดิมได้ ไม่ต้องเปลี่ยน; พิมพ์ใหม่ใช้รหัส Active/main
BB245,BB141,ถ่าน Alkaline 1.5V (3A),BB141,0,0,0,0,สแกนสติ๊กเกอร์เดิมได้ ไม่ต้องเปลี่ยน; พิมพ์ใหม่ใช้รหัส Active/main
BB246,BB142,ถ่าน Alkaline 9V (1 ก้อน),BB142,0,0,0,0,สแกนสติ๊กเกอร์เดิมได้ ไม่ต้องเปลี่ยน; พิมพ์ใหม่ใช้รหัส Active/main
BB247,BB144,ถ่าน Manganese 1.5V (D) (2 ก้อน),BB144,0,0,0,0,สแกนสติ๊กเกอร์เดิมได้ ไม่ต้องเปลี่ยน; พิมพ์ใหม่ใช้รหัส Active/main
BB254,BB147,ถุงซิปล็อคขนาด 10x15 cm,BB147,1,2,12.0,1,สแกนสติ๊กเกอร์เดิมได้ ไม่ต้องเปลี่ยน; พิมพ์ใหม่ใช้รหัส Active/main
BB255,BB148,ถุงซิปล็อคขนาด 10x20 cm,BB148,1,0,10.0,1,สแกนสติ๊กเกอร์เดิมได้ ไม่ต้องเปลี่ยน; พิมพ์ใหม่ใช้รหัส Active/main
BB256,BB149,ถุงซิปล็อคขนาด 17x26.5 cm,BB149,1,3,4.0,1,สแกนสติ๊กเกอร์เดิมได้ ไม่ต้องเปลี่ยน; พิมพ์ใหม่ใช้รหัส Active/main
BB257,BB150,ถุงซิปล็อคขนาด 23x33 cm,BB150,1,2,2.0,1,สแกนสติ๊กเกอร์เดิมได้ ไม่ต้องเปลี่ยน; พิมพ์ใหม่ใช้รหัส Active/main
BB259,BB151,ถุงมือลาเท็กซ์ ไซส์ L,BB151,1,0,4.0,1,สแกนสติ๊กเกอร์เดิมได้ ไม่ต้องเปลี่ยน; พิมพ์ใหม่ใช้รหัส Active/main
BB260,BB152,ถุงมือลาเท็กซ์ ไซส์ M,BB152,1,17,3.0,1,สแกนสติ๊กเกอร์เดิมได้ ไม่ต้องเปลี่ยน; พิมพ์ใหม่ใช้รหัส Active/main
BB261,BB153,ถุงมือลาเท็กซ์ ไซส์ S,BB153,1,36,4.0,1,สแกนสติ๊กเกอร์เดิมได้ ไม่ต้องเปลี่ยน; พิมพ์ใหม่ใช้รหัส Active/main
BB262,BB154,ถุงมือลาเท็กซ์ ไซส์ XS,BB154,1,36,4.0,1,สแกนสติ๊กเกอร์เดิมได้ ไม่ต้องเปลี่ยน; พิมพ์ใหม่ใช้รหัส Active/main
BB265,BB155,ทิชชู่สำหรับเช็ดมือ,BB155,5,151,2.0,2,สแกนสติ๊กเกอร์เดิมได้ ไม่ต้องเปลี่ยน; พิมพ์ใหม่ใช้รหัส Active/main
BB268,BB156,เทปกระดาษกาวย่น ขนาด 3/4”,BB156,1,4,6.0,1,สแกนสติ๊กเกอร์เดิมได้ ไม่ต้องเปลี่ยน; พิมพ์ใหม่ใช้รหัส Active/main
BB269,BB157,เทปกาว 2 หน้า แบบบาง ขนาด 1 นิ้ว,BB157,1,2,13.0,1,สแกนสติ๊กเกอร์เดิมได้ ไม่ต้องเปลี่ยน; พิมพ์ใหม่ใช้รหัส Active/main
BB270,BB158,เทปกาว 2 หน้า แบบบาง ขนาด 1/4 นิ้ว,BB158,0,0,0,0,สแกนสติ๊กเกอร์เดิมได้ ไม่ต้องเปลี่ยน; พิมพ์ใหม่ใช้รหัส Active/main
